Case Number,Filing Date,Case Status
19C50004  ,1/2/19,Active/C
19C50093  ,1/2/19,Active
19C50124  ,1/3/19,Active/C
19C50092  ,1/3/19,Active/C
19C50094  ,1/3/19,Active/C
19C50099  ,1/3/19,Active/C
19C50098  ,1/3/19,Active/C
19C50096  ,1/3/19,Active/C
19C50095  ,1/3/19,Closed
19C50097  ,1/3/19,Closed
19C50104  ,1/3/19,Active/C
19C50103  ,1/3/19,Active/C
19C50101  ,1/3/19,Active/C
19C50106  ,1/3/19,Active/C
19C50100  ,1/3/19,Active/C
19C50105  ,1/3/19,Closed
19C50102  ,1/3/19,Active/C
19C50108  ,1/3/19,Active/C
19C50109  ,1/3/19,Active/C
19C50110  ,1/3/19,Closed
19C50107  ,1/3/19,Closed
19C50111  ,1/3/19,Closed
19C50112  ,1/3/19,Active/C
19C50179  ,1/3/19,Active/C
19C50180  ,1/4/19,Active/C
19C50182  ,1/4/19,Closed
19C50181  ,1/4/19,Active/C
19C50183  ,1/4/19,Active/C
19C50187  ,1/4/19,Active/C
19C50184  ,1/4/19,Closed
19C50185  ,1/4/19,Closed
19C50188  ,1/4/19,Active/C
19C50186  ,1/4/19,Closed
19C50190  ,1/4/19,Active/C
19C50189  ,1/4/19,Active/C
19C50191  ,1/4/19,Active/C
19C50194  ,1/4/19,Active/C
19C50193  ,1/4/19,Closed
19C50192  ,1/4/19,Active/C
19C50223  ,1/7/19,Active/C
19C50307  ,1/7/19,Active
19C50224  ,1/7/19,Active/C
19C50206  ,1/7/19,Closed
19C50211  ,1/7/19,Closed
19C50212  ,1/7/19,Active
19C50208  ,1/7/19,Active
19C50213  ,1/7/19,Closed
19C50207  ,1/7/19,Active
19C50215  ,1/7/19,Closed
19C50210  ,1/7/19,Active
19C50216  ,1/7/19,Active/C
19C50240  ,1/8/19,Closed
19C50225  ,1/8/19,Closed
19C50237  ,1/8/19,Closed
19C50306  ,1/8/19,Active/C
19C50235  ,1/8/19,Closed
19C50232  ,1/8/19,Closed
19C50241  ,1/8/19,Closed
19C50227  ,1/8/19,Closed
19C50305  ,1/8/19,Closed
19C50231  ,1/8/19,Closed
19C50234  ,1/8/19,Active/C
19C50242  ,1/8/19,Active
19C50230  ,1/8/19,Active
19C50228  ,1/8/19,Closed
19C50279  ,1/8/19,Active/C
19C50282  ,1/8/19,Active/C
19C50284  ,1/8/19,Closed
19C50319  ,1/9/19,Closed
19C50318  ,1/9/19,Closed
19C50342  ,1/9/19,Closed
19C50343  ,1/9/19,Active/C
19C50353  ,1/9/19,Closed
19C50356  ,1/9/19,Closed
19C50355  ,1/9/19,Closed
19C50357  ,1/9/19,Closed
19C50354  ,1/9/19,Closed
19C50567  ,1/9/19,Closed
19C50361  ,1/9/19,Closed
19C50358  ,1/9/19,Active/C
19C50360  ,1/9/19,Active/C
19C50367  ,1/9/19,Closed
19C50365  ,1/9/19,Closed
19C50366  ,1/9/19,Closed
19C50369  ,1/9/19,Closed
19C50363  ,1/9/19,Closed
19C50368  ,1/9/19,Active/C
19C50364  ,1/9/19,Closed
19C50362  ,1/9/19,Closed
19C50371  ,1/9/19,Active
19C50372  ,1/9/19,Closed
19C50373  ,1/9/19,Closed
19C50375  ,1/9/19,Closed
19C50376  ,1/9/19,Active/C
19C50374  ,1/9/19,Active/C
19C50370  ,1/9/19,Closed
19C50377  ,1/9/19,Active/C
19C50378  ,1/9/19,Active/C
19C50380  ,1/9/19,Closed
19C50385  ,1/9/19,Closed
19C50383  ,1/9/19,Closed
19C50381  ,1/9/19,Closed
19C50379  ,1/9/19,Active
19C50384  ,1/9/19,Closed
19C50386  ,1/9/19,Active/C
19C50382  ,1/9/19,Closed
