Selection,Opponent,Damage
Normal,Normal,1
Normal,Fighting,1
Normal,Flying,1
Normal,Poison,1
Normal,Ground,1
Normal,Bug,1
Normal,Fire,1
Normal,Water,1
Normal,Grass,1
Normal,Electric,1
Normal,Psychic,1
Normal,Ice,1
Normal,Dragon,1
Normal,Dark,1
Normal,Fairy,1
Normal,Rock,0.5
Normal,Steel,0.5
Normal,Ghost,0
Fighting,Normal,2
Fighting,Rock,2
Fighting,Steel,2
Fighting,Ice,2
Fighting,Dark,2
Fighting,Fighting,1
Fighting,Ground,1
Fighting,Fire,1
Fighting,Water,1
Fighting,Grass,1
Fighting,Electric,1
Fighting,Dragon,1
Fighting,Flying,0.5
Fighting,Poison,0.5
Fighting,Bug,0.5
Fighting,Psychic,0.5
Fighting,Fairy,0.5
Fighting,Ghost,0
Flying,Fighting,2
Flying,Bug,2
Flying,Grass,2
Flying,Normal,1
Flying,Flying,1
Flying,Poison,1
Flying,Ground,1
Flying,Ghost,1
Flying,Fire,1
Flying,Water,1
Flying,Psychic,1
Flying,Ice,1
Flying,Dragon,1
Flying,Dark,1
Flying,Fairy,1
Flying,Rock,0.5
Flying,Steel,0.5
Flying,Electric,0.5
Poison,Grass,2
Poison,Fairy,2
Poison,Normal,1
Poison,Fighting,1
Poison,Flying,1
Poison,Bug,1
Poison,Fire,1
Poison,Water,1
Poison,Electric,1
Poison,Psychic,1
Poison,Ice,1
Poison,Dragon,1
Poison,Dark,1
Poison,Poison,0.5
Poison,Ground,0.5
Poison,Rock,0.5
Poison,Ghost,0.5
Poison,Steel,0
Ground,Poison,2
Ground,Rock,2
Ground,Steel,2
Ground,Fire,2
Ground,Electric,2
Ground,Normal,1
Ground,Fighting,1
Ground,Ground,1
Ground,Ghost,1
Ground,Water,1
Ground,Psychic,1
Ground,Ice,1
Ground,Dragon,1
Ground,Dark,1
Ground,Fairy,1
Ground,Bug,0.5
Ground,Grass,0.5
Ground,Flying,0
Rock,Flying,2
Rock,Bug,2
Rock,Fire,2
Rock,Ice,2
Rock,Normal,1
Rock,Poison,1
Rock,Rock,1
Rock,Ghost,1
Rock,Water,1
Rock,Grass,1
Rock,Electric,1
Rock,Psychic,1
Rock,Dragon,1
Rock,Dark,1
Rock,Fairy,1
Rock,Fighting,0.5
Rock,Ground,0.5
Rock,Steel,0.5
Bug,Grass,2
Bug,Psychic,2
Bug,Dark,2
Bug,Normal,1
Bug,Ground,1
Bug,Rock,1
Bug,Bug,1
Bug,Water,1
Bug,Electric,1
Bug,Ice,1
Bug,Dragon,1
Bug,Fighting,0.5
Bug,Flying,0.5
Bug,Poison,0.5
Bug,Ghost,0.5
Bug,Steel,0.5
Bug,Fire,0.5
Bug,Fairy,0.5
Ghost,Ghost,2
Ghost,Psychic,2
Ghost,Fighting,1
Ghost,Flying,1
Ghost,Poison,1
Ghost,Ground,1
Ghost,Rock,1
Ghost,Bug,1
Ghost,Steel,1
Ghost,Fire,1
Ghost,Water,1
Ghost,Grass,1
Ghost,Electric,1
Ghost,Ice,1
