"","Full.Name","Place","Tires","Car.Make","Car.Model","Car.Year","Course","Run","Time","Run.Rank"
"1","Ron Williams",1,"Bridgestone","Honda","Civic SI",2019,"C1","R1",69.083,3
"2","Lance Keeley",2,"BFGoodrich","Honda","Civic SI",2018,"C1","R1",69.356,3
"3","Eric Simmons",3,"BFGoodrich","Honda","Civic SI",2019,"C1","R1",69.362,3
"4","Dave Potocki",4,"Bridgestone","Honda","Civic SI",2019,"C1","R1",70.998,2
"5","Chris Kirkland",5,"Bridgestone","Ford","Focus ST",2013,"C1","R1",69.719,2
"6","Mike Herrick",6,"Bridgestone","Honda","Civic SI",2017,"C1","R1",72.949,3
"7","Nick Sloan",7,"Bridgestone","Honda","Civic SI",2017,"C1","R1",70.529,3
"8","Joe Blaha",8,"Bridgestone","Ford","Focus ST",2014,"C1","R1",69.18,1
"9","Chris Rudy",9,"Bridgestone","Honda","Civic SI",2017,"C1","R1",77.479,3
"10","Dan Cochran",10,"Bridgestone","Ford","Focus ST",2014,"C1","R1",69.547,2
"11","Jason Tipple",11,"Bridgestone","Honda","Civic SI",2019,"C1","R1",71.163,2
"12","Mike Casino",12,"Bridgestone","Ford","Focus ST",2013,"C1","R1",69.742,1
"13","Matt Luckow",13,"Bridgestone","Honda","Civic SI",2018,"C1","R1",69.689,1
"14","Brad Fiore",14,"Bridgestone","Volkswagen","Golf GTI",2017,"C1","R1",70.496,3
"15","Roy Handoko",15,"Bridgestone","Honda","Civic SI",2019,"C1","R1",70.184,1
"16","Jack Burns",16,"BFGoodrich","Honda","Civic SI",2019,"C1","R1",70.613,3
"17","Brian Anthony",17,"Bridgestone","Ford","Focus ST",2014,"C1","R1",71.843,3
"18","Patrice Bousquet",18,"Bridgestone","Volkswagen","Golf GTI",2016,"C1","R1",70.041,1
"19","Todd Freeman",19,"Bridgestone","Honda","Civic SI",2017,"C1","R1",70.381,1
"20","Christopher Higgins",20,"BFGoodrich","Honda","Civic SI",2017,"C1","R1",70.471,3
"21","Richard Verret",21,"BFGoodrich","Honda","Civic SI",2017,"C1","R1",74.703,3
"22","Shaun Bailey",22,"BFGoodrich","Volkswagen","Golf GTI",2016,"C1","R1",72.433,3
"23","Sam Karp",23,"BFGoodrich","Honda","Civic SI",2018,"C1","R1",70.494,3
"24","Jeffrey Tattershall",24,"Bridgestone","Honda","Civic SI",2019,"C1","R1",74.772,3
"25","Michael Waich",25,"Bridgestone","Volkswagen","Golf GTI",2016,"C1","R1",72.389,3
"26","John Azevedo",26,"Bridgestone","Honda","Civic SI",2019,"C1","R1",72.155,2
"27","Alan Hamson",27,"Bridgestone","Honda","Civic SI",2019,"C1","R1",77.515,3
"28","Barbara Seeger",28,"Bridgestone","Honda","Civic SI",2018,"C1","R1",71.419,3
"29","Lee Piccione",29,"Bridgestone","Honda","Civic SI",2019,"C1","R1",73.487,3
"30","Robin Newborg",30,"Bridgestone","Volkswagen","Golf GTI",2016,"C1","R1",72.062,3
"31","Alex Bronson",31,"Bridgestone","Ford","Focus ST",2016,"C1","R1",71.671,3
"32","Chad Freeman",32,"Bridgestone","Honda","Civic SI",2018,"C1","R1",73.988,2
"33","Daniel Sato",33,"Bridgestone","Honda","Civic SI",2018,"C1","R1",72.556,2
"34","Jeffrey Managhan",34,"Bridgestone","Volkswagen","Golf GTI",2017,"C1","R1",72.666,3
"35","Christian Williams",35,"Bridgestone","Honda","Civic SI",2017,"C1","R1",72.122,3
"36","Nikhil Juturu",36,"Bridgestone","Honda","Civic SI",2018,"C1","R1",71.399,2
