Year,Semester,College/Division,Department ,LEVEL,Level,SCH (w/ zeros)
2008,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,900,105
2008,Fall,Agri Sci & Natl Resources,Statistics,Course Level,900,166
2008,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,900,118
2008,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,900,0
2008,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,900,0
2008,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,900,13
2008,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,900,0
2008,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,900,95
2008,Fall,Agri Sci & Natl Resources,Entomology,Course Level,900,75
2008,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,900,0
2008,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,900,166
2008,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,900,32
2008,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,900,177
2008,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,900,158
2008,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,900,24
2008,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,900,76
2008,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,900,0
2008,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,800,108
2008,Fall,Agri Sci & Natl Resources,Statistics,Course Level,800,686
2008,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,800,419
2008,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,800,0
2008,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,800,0
2008,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,800,68
2008,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,800,0
2008,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,800,220
2008,Fall,Agri Sci & Natl Resources,Entomology,Course Level,800,269
2008,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,800,0
2008,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,800,140
2008,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,800,79
2008,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,800,179
2008,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,800,167
2008,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,800,145
2008,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,800,533
2008,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,800,1
2008,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,700,0
2008,Fall,Agri Sci & Natl Resources,Statistics,Course Level,700,0
2008,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,700,0
2008,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,700,0
2008,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,700,0
2008,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,700,0
2008,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,700,0
2008,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,700,0
2008,Fall,Agri Sci & Natl Resources,Entomology,Course Level,700,0
2008,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,700,0
2008,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,700,0
2008,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,700,0
2008,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,700,0
2008,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,700,0
2008,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,700,0
2008,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,700,0
2008,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,700,0
2008,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,600,730
2008,Fall,Agri Sci & Natl Resources,Statistics,Course Level,600,0
2008,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,600,0
2008,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,600,0
2008,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,600,0
2008,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,600,0
2008,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,600,0
2008,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,600,0
2008,Fall,Agri Sci & Natl Resources,Entomology,Course Level,600,0
2008,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,600,0
2008,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,600,0
2008,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,600,0
2008,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,600,0
2008,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,600,0
2008,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,600,0
2008,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,600,0
2008,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,600,0
2008,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,500,222
2008,Fall,Agri Sci & Natl Resources,Statistics,Course Level,500,0
2008,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,500,0
2008,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,500,0
2008,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,500,0
2008,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,500,0
2008,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,500,0
2008,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,500,0
2008,Fall,Agri Sci & Natl Resources,Entomology,Course Level,500,0
2008,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,500,0
2008,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,500,0
2008,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,500,0
2008,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,500,0
2008,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,500,0
2008,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,500,0
2008,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,500,0
2008,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,500,0
2008,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,400,84
2008,Fall,Agri Sci & Natl Resources,Statistics,Course Level,400,174
2008,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,400,341
2008,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,400,6
2008,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,400,0
2008,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,400,271
2008,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,400,0
2008,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,400,182
2008,Fall,Agri Sci & Natl Resources,Entomology,Course Level,400,68
2008,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,400,62
2008,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,400,599
2008,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,400,515
2008,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,400,345
2008,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,400,130
2008,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,400,200
2008,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,400,186
2008,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,400,1
2008,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,300,0
2008,Fall,Agri Sci & Natl Resources,Statistics,Course Level,300,183
2008,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,300,548
2008,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,300,120
2008,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,300,0
2008,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,300,166
2008,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,300,0
2008,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,300,59
2008,Fall,Agri Sci & Natl Resources,Entomology,Course Level,300,14
2008,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,300,132
2008,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,300,365
2008,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,300,264
2008,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,300,714
2008,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,300,370
2008,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,300,728
2008,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,300,649
2008,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,300,52
2008,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,200,0
2008,Fall,Agri Sci & Natl Resources,Statistics,Course Level,200,1689
2008,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,200,624
2008,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,200,30
2008,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,200,126
2008,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,200,320
2008,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,200,0
2008,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,200,36
2008,Fall,Agri Sci & Natl Resources,Entomology,Course Level,200,0
2008,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,200,405
2008,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,200,0
2008,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,200,276
2008,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,200,598
2008,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,200,386
2008,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,200,772
2008,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,200,144
2008,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,200,179
2008,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,100,47
2008,Fall,Agri Sci & Natl Resources,Statistics,Course Level,100,0
2008,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,100,440
2008,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,100,39
2008,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,100,503
2008,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,100,97
2008,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,100,945
2008,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,100,250
2008,Fall,Agri Sci & Natl Resources,Entomology,Course Level,100,1154
2008,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,100,123
2008,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,100,110
2008,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,100,550
2008,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,100,432
2008,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,100,994
2008,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,100,521
2008,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,100,521
2008,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,100,828
2008,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,<100,0
2008,Fall,Agri Sci & Natl Resources,Statistics,Course Level,<100,0
2008,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,<100,0
2008,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,<100,0
2008,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,<100,0
2008,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,<100,0
2008,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,<100,0
2008,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,<100,0
2008,Fall,Agri Sci & Natl Resources,Entomology,Course Level,<100,0
2008,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,<100,0
2008,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,<100,0
2008,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,<100,0
2008,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,<100,0
2008,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,<100,0
2008,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,<100,0
2008,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,<100,0
