Year,Semester,College/Division,Department ,LEVEL,Level,SCH (w/ zeros)
2010,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,900,117
2010,Spring,Agri Sci & Natl Resources,Statistics,Course Level,900,237
2010,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,900,130
2010,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,900,0
2010,Spring,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,900,0
2010,Spring,Agri Sci & Natl Resources,Horticulture,Course Level,900,27
2010,Spring,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,900,0
2010,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,900,104
2010,Spring,Agri Sci & Natl Resources,Entomology,Course Level,900,104
2010,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,900,0
2010,Spring,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,900,107
2010,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,900,87
2010,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,900,179
2010,Spring,Agri Sci & Natl Resources,Agronomy,Course Level,900,183
2010,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,900,53
2010,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,900,113
2010,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,900,0
2010,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,800,9
2010,Spring,Agri Sci & Natl Resources,Statistics,Course Level,800,726
2010,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,800,443
2010,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,800,6
2010,Spring,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,800,0
2010,Spring,Agri Sci & Natl Resources,Horticulture,Course Level,800,131
2010,Spring,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,800,0
