Year,Semester,College/Division,Department ,LEVEL,Level,SCH (w/ zeros)
2013,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,900,61
2013,Summer,Agri Sci & Natl Resources,Statistics,Course Level,900,37
2013,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,900,142
2013,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,900,0
2013,Summer,Agri Sci & Natl Resources,Horticulture,Course Level,900,16
2013,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,900,73.99999999
2013,Summer,Agri Sci & Natl Resources,Entomology,Course Level,900,53.99999999
2013,Summer,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,900,0
2013,Summer,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,900,128
2013,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,900,28
2013,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,900,150.9999999
2013,Summer,Agri Sci & Natl Resources,Agronomy,Course Level,900,220.9999999
2013,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,900,9
2013,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,900,27
2013,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,900,0
2013,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,800,0
2013,Summer,Agri Sci & Natl Resources,Statistics,Course Level,800,21
2013,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,800,70
2013,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,800,7
2013,Summer,Agri Sci & Natl Resources,Horticulture,Course Level,800,9
2013,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,800,20
2013,Summer,Agri Sci & Natl Resources,Entomology,Course Level,800,242
2013,Summer,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,800,0
2013,Summer,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,800,4
2013,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,800,36
2013,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,800,173.9999999
2013,Summer,Agri Sci & Natl Resources,Agronomy,Course Level,800,194
2013,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,800,38
2013,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,800,66
2013,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,800,0
2013,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,700,0
2013,Summer,Agri Sci & Natl Resources,Statistics,Course Level,700,0
2013,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,700,0
2013,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,700,0
2013,Summer,Agri Sci & Natl Resources,Horticulture,Course Level,700,0
2013,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,700,0
2013,Summer,Agri Sci & Natl Resources,Entomology,Course Level,700,0
2013,Summer,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,700,0
2013,Summer,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,700,0
2013,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,700,0
2013,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,700,0
2013,Summer,Agri Sci & Natl Resources,Agronomy,Course Level,700,0
2013,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,700,0
2013,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,700,0
2013,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,700,0
2013,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,600,0
2013,Summer,Agri Sci & Natl Resources,Statistics,Course Level,600,0
2013,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,600,0
2013,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,600,0
2013,Summer,Agri Sci & Natl Resources,Horticulture,Course Level,600,0
2013,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,600,0
2013,Summer,Agri Sci & Natl Resources,Entomology,Course Level,600,0
2013,Summer,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,600,0
2013,Summer,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,600,0
2013,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,600,0
2013,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,600,0
2013,Summer,Agri Sci & Natl Resources,Agronomy,Course Level,600,0
2013,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,600,0
2013,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,600,0
2013,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,600,0
2013,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,500,0
2013,Summer,Agri Sci & Natl Resources,Statistics,Course Level,500,0
2013,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,500,0
2013,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,500,0
2013,Summer,Agri Sci & Natl Resources,Horticulture,Course Level,500,0
2013,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,500,0
2013,Summer,Agri Sci & Natl Resources,Entomology,Course Level,500,0
2013,Summer,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,500,0
2013,Summer,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,500,0
2013,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,500,0
2013,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,500,0
2013,Summer,Agri Sci & Natl Resources,Agronomy,Course Level,500,0
2013,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,500,0
2013,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,500,0
2013,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,500,0
2013,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,400,2
2013,Summer,Agri Sci & Natl Resources,Statistics,Course Level,400,0
