Year,College,Deg ID,Ethnicity,Gender,Maj 1,Maj 2,Maj 3,Major Name ,Number of Records
2016,Agri Sci & Natl Res,B1AB,HISP,F,ABUS,,,AGRIBUSINESS,1
2016,Agri Sci & Natl Res,B1AB,WH,F,ABUS,,,AGRIBUSINESS,22
2016,Agri Sci & Natl Res,B1AB,WH,M,ABUS,,,AGRIBUSINESS,34
2016,Agri Sci & Natl Res,B1SC,WH,F,AESC,,,AGRICULTURAL & ENV SCI COMM,6
2016,Agri Sci & Natl Res,B1SC,WH,M,AESC,,,AGRICULTURAL & ENV SCI COMM,1
2016,Agri Sci & Natl Res,B1AE,UNK,M,AECN,,,AGRICULTURAL ECONOMICS,2
2016,Agri Sci & Natl Res,B1AE,WH,F,AECN,,,AGRICULTURAL ECONOMICS,9
2016,Agri Sci & Natl Res,B1AE,WH,M,AECN,,,AGRICULTURAL ECONOMICS,35
2016,Agri Sci & Natl Res,B1ED,NRA,F,AEDU,,,AGRICULTURAL EDUCATION,1
2016,Agri Sci & Natl Res,B1ED,WH,F,AEDU,,,AGRICULTURAL EDUCATION,10
2016,Agri Sci & Natl Res,B1ED,WH,M,AEDU,,,AGRICULTURAL EDUCATION,2
2016,Agri Sci & Natl Res,B1ED,WH,F,AEDU,COEA,,AGRICULTURAL EDUCATION,9
2016,Agri Sci & Natl Res,B1ED,WH,M,AEDU,COEA,,AGRICULTURAL EDUCATION,1
2016,Agri Sci & Natl Res,B1AG,HISP,F,AGRO,,,AGRONOMY,1
2016,Agri Sci & Natl Res,B1AG,UNK,M,AGRO,,,AGRONOMY,1
2016,Agri Sci & Natl Res,B1AG,WH,F,AGRO,,,AGRONOMY,6
2016,Agri Sci & Natl Res,B1AG,WH,M,AGRO,,,AGRONOMY,59
2016,Agri Sci & Natl Res,B1AS,HISP,F,ASCI,,,ANIMAL SCIENCE,4
2016,Agri Sci & Natl Res,B1AS,HISP,M,ASCI,,,ANIMAL SCIENCE,2
2016,Agri Sci & Natl Res,B1AS,NRA,F,ASCI,,,ANIMAL SCIENCE,1
2016,Agri Sci & Natl Res,B1AS,WH,F,ASCI,,,ANIMAL SCIENCE,63
2016,Agri Sci & Natl Res,B1AS,WH,M,ASCI,,,ANIMAL SCIENCE,25
2016,Agri Sci & Natl Res,B1AP,BLK,M,APSC,,,APPLIED SCIENCE,1
2016,Agri Sci & Natl Res,B1AP,HISP,M,APSC,,,APPLIED SCIENCE,1
2016,Agri Sci & Natl Res,B1AP,WH,F,APSC,,,APPLIED SCIENCE,2
2016,Agri Sci & Natl Res,B1AP,WH,M,APSC,,,APPLIED SCIENCE,11
2016,Agri Sci & Natl Res,B1BC,ASI,F,BIOC,,,BIOCHEMISTRY,1
2016,Agri Sci & Natl Res,B1BC,ASI,M,BIOC,,,BIOCHEMISTRY,1
2016,Agri Sci & Natl Res,B1BC,HISP,F,BIOC,,,BIOCHEMISTRY,1
2016,Agri Sci & Natl Res,B1BC,WH,F,BIOC,,,BIOCHEMISTRY,7
2016,Agri Sci & Natl Res,B1BC,WH,M,BIOC,,,BIOCHEMISTRY,7
2016,Agri Sci & Natl Res,B1ER,HISP,M,ENRS,,,ENVIRONMENTAL RESTORATION SCI,1
2016,Agri Sci & Natl Res,B1ER,WH,F,ENRS,,,ENVIRONMENTAL RESTORATION SCI,2
2016,Agri Sci & Natl Res,B1ER,WH,M,ENRS,,,ENVIRONMENTAL RESTORATION SCI,2
