Year,College,Deg ID,Ethnicity,Gender,Maj 1,Maj 2,Maj 3,Major Name ,Number of Records
2017,Agri Sci & Natl Res,B1AB,HISP,F,ABUS,,,AGRIBUSINESS,1
2017,Agri Sci & Natl Res,B1AB,NRA,F,ABUS,,,AGRIBUSINESS,1
2017,Agri Sci & Natl Res,B1AB,NRA,M,ABUS,,,AGRIBUSINESS,3
2017,Agri Sci & Natl Res,B1AB,UNK,M,ABUS,,,AGRIBUSINESS,1
2017,Agri Sci & Natl Res,B1AB,WH,F,ABUS,,,AGRIBUSINESS,9
2017,Agri Sci & Natl Res,B1AB,WH,M,ABUS,,,AGRIBUSINESS,31
2017,Agri Sci & Natl Res,B1SC,ASI,F,AESC,,,AGRICULTURAL & ENV SCI COMM,1
2017,Agri Sci & Natl Res,B1SC,WH,F,AESC,,,AGRICULTURAL & ENV SCI COMM,9
2017,Agri Sci & Natl Res,B1AE,HISP,M,AECN,,,AGRICULTURAL ECONOMICS,1
2017,Agri Sci & Natl Res,B1AE,NRA,M,AECN,,,AGRICULTURAL ECONOMICS,1
2017,Agri Sci & Natl Res,B1AE,2+,F,AECN,,,AGRICULTURAL ECONOMICS,1
2017,Agri Sci & Natl Res,B1AE,WH,F,AECN,,,AGRICULTURAL ECONOMICS,9
2017,Agri Sci & Natl Res,B1AE,WH,M,AECN,,,AGRICULTURAL ECONOMICS,39
2017,Agri Sci & Natl Res,B1ED,WH,F,AEDU,,,AGRICULTURAL EDUCATION,6
2017,Agri Sci & Natl Res,B1ED,WH,F,AEDU,COEA,,AGRICULTURAL EDUCATION,20
2017,Agri Sci & Natl Res,B1ED,WH,M,AEDU,COEA,,AGRICULTURAL EDUCATION,7
2017,Agri Sci & Natl Res,B1AG,NRA,F,AGRO,,,AGRONOMY,2
2017,Agri Sci & Natl Res,B1AG,NRA,M,AGRO,,,AGRONOMY,1
2017,Agri Sci & Natl Res,B1AG,WH,F,AGRO,,,AGRONOMY,5
2017,Agri Sci & Natl Res,B1AG,WH,M,AGRO,,,AGRONOMY,32
2017,Agri Sci & Natl Res,B1AS,HISP,F,ASCI,,,ANIMAL SCIENCE,2
2017,Agri Sci & Natl Res,B1AS,HISP,M,ASCI,,,ANIMAL SCIENCE,2
2017,Agri Sci & Natl Res,B1AS,NRA,F,ASCI,,,ANIMAL SCIENCE,1
2017,Agri Sci & Natl Res,B1AS,2+,F,ASCI,,,ANIMAL SCIENCE,1
2017,Agri Sci & Natl Res,B1AS,WH,F,ASCI,,,ANIMAL SCIENCE,40
2017,Agri Sci & Natl Res,B1AS,WH,M,ASCI,,,ANIMAL SCIENCE,20
2017,Agri Sci & Natl Res,B1AP,HISP,F,APSC,,,APPLIED SCIENCE,1
2017,Agri Sci & Natl Res,B1AP,HISP,M,APSC,,,APPLIED SCIENCE,1
2017,Agri Sci & Natl Res,B1AP,NRA,M,APSC,,,APPLIED SCIENCE,1
2017,Agri Sci & Natl Res,B1AP,2+,M,APSC,,,APPLIED SCIENCE,1
2017,Agri Sci & Natl Res,B1AP,WH,F,APSC,,,APPLIED SCIENCE,5
2017,Agri Sci & Natl Res,B1AP,WH,M,APSC,,,APPLIED SCIENCE,19
2017,Agri Sci & Natl Res,B1BC,ASI,F,BIOC,,,BIOCHEMISTRY,2
2017,Agri Sci & Natl Res,B1BC,ASI,M,BIOC,,,BIOCHEMISTRY,1
2017,Agri Sci & Natl Res,B1BC,BLK,M,BIOC,,,BIOCHEMISTRY,1
2017,Agri Sci & Natl Res,B1BC,HISP,M,BIOC,,,BIOCHEMISTRY,1
2017,Agri Sci & Natl Res,B1BC,NRA,F,BIOC,,,BIOCHEMISTRY,1
2017,Agri Sci & Natl Res,B1BC,NRA,M,BIOC,,,BIOCHEMISTRY,1
2017,Agri Sci & Natl Res,B1BC,2+,F,BIOC,,,BIOCHEMISTRY,2
2017,Agri Sci & Natl Res,B1BC,2+,M,BIOC,,,BIOCHEMISTRY,2
2017,Agri Sci & Natl Res,B1BC,UNK,M,BIOC,,,BIOCHEMISTRY,1
2017,Agri Sci & Natl Res,B1BC,WH,F,BIOC,,,BIOCHEMISTRY,12
2017,Agri Sci & Natl Res,B1BC,WH,M,BIOC,,,BIOCHEMISTRY,11
2017,Agri Sci & Natl Res,B1ER,HISP,F,ENRS,,,ENVIRONMENTAL RESTORATION SCI,1
2017,Agri Sci & Natl Res,B1ER,WH,F,ENRS,,,ENVIRONMENTAL RESTORATION SCI,3
2017,Agri Sci & Natl Res,B1ER,WH,M,ENRS,,,ENVIRONMENTAL RESTORATION SCI,2
2017,Agri Sci & Natl Res,B1ES,HISP,M,ENVR,,,ENVIRONMENTAL STUDIES,1
2017,Agri Sci & Natl Res,B1ES,WH,F,ENVR,,,ENVIRONMENTAL STUDIES,7
2017,Agri Sci & Natl Res,B1ES,WH,M,ENVR,,,ENVIRONMENTAL STUDIES,6
2017,Agri Sci & Natl Res,B1FW,HISP,F,FWL,,,FISHERIES AND WILDLIFE,1
2017,Agri Sci & Natl Res,B1FW,2+,F,FWL,,,FISHERIES AND WILDLIFE,1
2017,Agri Sci & Natl Res,B1FW,UNK,F,FWL,,,FISHERIES AND WILDLIFE,1
2017,Agri Sci & Natl Res,B1FW,UNK,M,FWL,,,FISHERIES AND WILDLIFE,1
2017,Agri Sci & Natl Res,B1FW,WH,F,FWL,,,FISHERIES AND WILDLIFE,17
2017,Agri Sci & Natl Res,B1FW,WH,M,FWL,,,FISHERIES AND WILDLIFE,19
2017,Agri Sci & Natl Res,B1FS,BLK,F,FDST,,,FOOD SCIENCE AND TECHNOLOGY,1
2017,Agri Sci & Natl Res,B1FS,NRA,F,FDST,,,FOOD SCIENCE AND TECHNOLOGY,1
2017,Agri Sci & Natl Res,B1FS,NRA,M,FDST,,,FOOD SCIENCE AND TECHNOLOGY,2
2017,Agri Sci & Natl Res,B1FS,WH,F,FDST,,,FOOD SCIENCE AND TECHNOLOGY,3
2017,Agri Sci & Natl Res,B1FS,WH,M,FDST,,,FOOD SCIENCE AND TECHNOLOGY,3
2017,Agri Sci & Natl Res,B1FC,WH,F,FTCA,,,FOOD TECH FOR COMPANION ANIMAL,1
2017,Agri Sci & Natl Res,B1FO,BLK,M,FORS,,,FORENSIC SCIENCE,1
2017,Agri Sci & Natl Res,B1FO,WH,F,FORS,,,FORENSIC SCIENCE,12
2017,Agri Sci & Natl Res,B1FO,WH,M,FORS,,,FORENSIC SCIENCE,4
2017,Agri Sci & Natl Res,B1GE,WH,F,GECM,,,GRASSLAND ECOLOGY & MANAGEMENT,1
2017,Agri Sci & Natl Res,B1GE,WH,M,GECM,,,GRASSLAND ECOLOGY & MANAGEMENT,2
2017,Agri Sci & Natl Res,B1GL,WH,F,GRLS,,,GRAZING LIVESTOCK SYSTEMS,2
2017,Agri Sci & Natl Res,B1GL,WH,M,GRLS,,,GRAZING LIVESTOCK SYSTEMS,4
2017,Agri Sci & Natl Res,B1HO,WH,F,HORT,,,HORTICULTURE,5
2017,Agri Sci & Natl Res,B1HO,WH,M,HORT,,,HORTICULTURE,9
2017,Agri Sci & Natl Res,BAHR,BLK,M,HRTA,,,HRTM-(ECOTOURISM/PARKS &RECREATION OPTIONS ONLY),1
2017,Agri Sci & Natl Res,BAHR,HISP,F,HRTA,,,HRTM-(ECOTOURISM/PARKS &RECREATION OPTIONS ONLY),1
2017,Agri Sci & Natl Res,BAHR,HISP,M,HRTA,,,HRTM-(ECOTOURISM/PARKS &RECREATION OPTIONS ONLY),1
2017,Agri Sci & Natl Res,BAHR,NRA,F,HRTA,,,HRTM-(ECOTOURISM/PARKS &RECREATION OPTIONS ONLY),1
2017,Agri Sci & Natl Res,BAHR,WH,F,HRTA,,,HRTM-(ECOTOURISM/PARKS &RECREATION OPTIONS ONLY),13
2017,Agri Sci & Natl Res,B1IS,WH,F,INSC,,,INSECT SCIENCE,2
2017,Agri Sci & Natl Res,B1IS,WH,M,INSC,,,INSECT SCIENCE,2
2017,Agri Sci & Natl Res,B1MS,HISP,M,MSYM,,,MECHANIZED SYSTEMS MANAGEMENT,1
2017,Agri Sci & Natl Res,B1MS,2+,M,MSYM,,,MECHANIZED SYSTEMS MANAGEMENT,1
2017,Agri Sci & Natl Res,B1MS,UNK,M,MSYM,,,MECHANIZED SYSTEMS MANAGEMENT,1
2017,Agri Sci & Natl Res,B1MS,WH,F,MSYM,,,MECHANIZED SYSTEMS MANAGEMENT,2
2017,Agri Sci & Natl Res,B1MS,WH,M,MSYM,,,MECHANIZED SYSTEMS MANAGEMENT,22
2017,Agri Sci & Natl Res,B1MB,WH,F,MBIO,,,MICROBIOLOGY,6
2017,Agri Sci & Natl Res,B1MB,WH,M,MBIO,,,MICROBIOLOGY,4
2017,Agri Sci & Natl Res,B1NE,WH,M,NREE,,,NATURAL RES & ENVIRON ECONOMIC,1
2017,Agri Sci & Natl Res,B1PM,HISP,M,PGAM,,,PGA GOLF MANAGEMENT,2
2017,Agri Sci & Natl Res,B1PM,NRA,M,PGAM,,,PGA GOLF MANAGEMENT,1
2017,Agri Sci & Natl Res,B1PM,2+,M,PGAM,,,PGA GOLF MANAGEMENT,2
2017,Agri Sci & Natl Res,B1PM,WH,M,PGAM,,,PGA GOLF MANAGEMENT,19
2017,Agri Sci & Natl Res,B1PB,2+,M,PBIO,,,PLANT BIOLOGY,1
2017,Agri Sci & Natl Res,B1PB,WH,F,PBIO,,,PLANT BIOLOGY,3
2017,Agri Sci & Natl Res,B1PB,WH,M,PBIO,,,PLANT BIOLOGY,2
2017,Agri Sci & Natl Res,B1TL,NRA,M,TLMT,,,TURFGRASS AND LANDSCAPE MNGT,1
2017,Agri Sci & Natl Res,B1TL,WH,F,TLMT,,,TURFGRASS AND LANDSCAPE MNGT,1
2017,Agri Sci & Natl Res,B1TL,WH,M,TLMT,,,TURFGRASS AND LANDSCAPE MNGT,8
2017,Agri Sci & Natl Res,B1VS,HISP,F,VBMS,,,VETERINARY SCIENCE,1
2017,Agri Sci & Natl Res,B1VS,WH,F,VBMS,,,VETERINARY SCIENCE,8
2017,Agri Sci & Natl Res,B1VS,WH,M,VBMS,,,VETERINARY SCIENCE,2
2017,Agri Sci & Natl Res,B1VT,WH,F,VETH,,,VETERINARY TECHNOLOGY,1
2017,Agri Sci & Natl Res,B1WS,HISP,F,WATR,,,WATER SCIENCE,1
2017,Agri Sci & Natl Res,B1WS,NRA,M,WATR,,,WATER SCIENCE,1
2017,Agri Sci & Natl Res,B1WS,UNK,M,WATR,,,WATER SCIENCE,1
2017,Agri Sci & Natl Res,B1WS,WH,F,WATR,,,WATER SCIENCE,3
2017,Agri Sci & Natl Res,B1WS,WH,M,WATR,,,WATER SCIENCE,4
2017,"Architecture
",BSD,BLK,M,ARCS,,,ARCHITECTURAL STUDIES,2
2017,"Architecture
",BSD,HISP,M,ARCS,,,ARCHITECTURAL STUDIES,6
2017,"Architecture
",BSD,NRA,M,ARCS,,,ARCHITECTURAL STUDIES,7
2017,"Architecture
",BSD,2+,M,ARCS,,,ARCHITECTURAL STUDIES,1
2017,"Architecture
",BSD,UNK,M,ARCS,,,ARCHITECTURAL STUDIES,1
2017,"Architecture
",BSD,WH,F,ARCS,,,ARCHITECTURAL STUDIES,18
2017,"Architecture
",BSD,WH,M,ARCS,,,ARCHITECTURAL STUDIES,22
2017,"Architecture
",MARC,ASI,F,ARCH,,,ARCHITECTURE,2
2017,"Architecture
",MARC,ASI,M,ARCH,,,ARCHITECTURE,1
2017,"Architecture
",MARC,HISP,M,ARCH,,,ARCHITECTURE,3
2017,"Architecture
",MARC,2+,F,ARCH,,,ARCHITECTURE,1
2017,"Architecture
",MARC,UNK,F,ARCH,,,ARCHITECTURE,1
2017,"Architecture
",MARC,UNK,M,ARCH,,,ARCHITECTURE,2
2017,"Architecture
",MARC,WH,F,ARCH,,,ARCHITECTURE,4
2017,"Architecture
",MARC,WH,M,ARCH,,,ARCHITECTURE,17
2017,"Architecture
",BSD,ASI,F,IDES,,,INTERIOR DESIGN,1
2017,"Architecture
",BSD,HISP,F,IDES,,,INTERIOR DESIGN,1
2017,"Architecture
",BSD,2+,F,IDES,,,INTERIOR DESIGN,1
2017,"Architecture
",BSD,UNK,F,IDES,,,INTERIOR DESIGN,1
2017,"Architecture
",BSD,UNK,M,IDES,,,INTERIOR DESIGN,1
2017,"Architecture
",BSD,WH,F,IDES,,,INTERIOR DESIGN,12
2017,"Architecture
",BLA,NRA,F,LAND,,,LANDSCAPE ARCHITECTURE,2
2017,"Architecture
",BLA,WH,F,LAND,,,LANDSCAPE ARCHITECTURE,1
2017,"Arts & Sciences
",BS,BLK,F,AACTS,,,ACTUARIAL SCIENCE,1
2017,"Arts & Sciences
",BS,HISP,F,AACTS,,,ACTUARIAL SCIENCE,1
2017,"Arts & Sciences
",BS,HISP,M,AACTS,,,ACTUARIAL SCIENCE,1
2017,"Arts & Sciences
",BS,NRA,F,AACTS,,,ACTUARIAL SCIENCE,6
2017,"Arts & Sciences
",BS,NRA,M,AACTS,,,ACTUARIAL SCIENCE,7
2017,"Arts & Sciences
",BS,WH,F,AACTS,,,ACTUARIAL SCIENCE,2
2017,"Arts & Sciences
",BS,WH,M,AACTS,,,ACTUARIAL SCIENCE,7
2017,"Arts & Sciences
",BA,WH,M,AACTS,,,ACTUARIAL SCIENCE,1
2017,"Arts & Sciences
",BS,NRA,F,AACTS,MATH,,ACTUARIAL SCIENCE,1
2017,"Arts & Sciences
",BS,WH,F,AACTS,MATH,,ACTUARIAL SCIENCE,1
2017,"Arts & Sciences
",BS,WH,M,AACTS,MATH,,ACTUARIAL SCIENCE,1
2017,"Arts & Sciences
",BA,AI/AN,F,ANTH,,,ANTHROPOLOGY,1
2017,"Arts & Sciences
",BS,HISP,F,ANTH,,,ANTHROPOLOGY,1
2017,"Arts & Sciences
",BA,HISP,F,ANTH,,,ANTHROPOLOGY,1
2017,"Arts & Sciences
",BA,HISP,M,ANTH,,,ANTHROPOLOGY,1
2017,"Arts & Sciences
",BA,2+,F,ANTH,,,ANTHROPOLOGY,1
2017,"Arts & Sciences
",BA,WH,F,ANTH,,,ANTHROPOLOGY,5
2017,"Arts & Sciences
",BS,WH,M,ANTH,,,ANTHROPOLOGY,1
2017,"Arts & Sciences
",BA,WH,M,ANTH,,,ANTHROPOLOGY,3
2017,"Arts & Sciences
",BA,WH,F,ANTH,HIST,GERM,ANTHROPOLOGY,1
2017,"Arts & Sciences
",BS,ASI,F,ABIOC,,,BIOCHEMISTRY,4
2017,"Arts & Sciences
",BS,ASI,M,ABIOC,,,BIOCHEMISTRY,1
2017,"Arts & Sciences
",BS,BLK,F,ABIOC,,,BIOCHEMISTRY,1
2017,"Arts & Sciences
",BS,HISP,F,ABIOC,,,BIOCHEMISTRY,1
2017,"Arts & Sciences
",BS,NRA,F,ABIOC,,,BIOCHEMISTRY,3
2017,"Arts & Sciences
",BS,2+,M,ABIOC,,,BIOCHEMISTRY,1
2017,"Arts & Sciences
",BS,WH,F,ABIOC,,,BIOCHEMISTRY,7
2017,"Arts & Sciences
",BS,WH,M,ABIOC,,,BIOCHEMISTRY,9
2017,"Arts & Sciences
",BS,WH,M,ABIOC,BIOS,MBIO,BIOCHEMISTRY,1
2017,"Arts & Sciences
",BS,NRA,F,ABIOC,MATH,,BIOCHEMISTRY,1
2017,"Arts & Sciences
",BS,WH,M,ABIOC,PSYC,,BIOCHEMISTRY,1
2017,"Arts & Sciences
",BS,ASI,F,BIOS,,,BIOLOGICAL SCIENCES,4
2017,"Arts & Sciences
",BS,ASI,M,BIOS,,,BIOLOGICAL SCIENCES,1
2017,"Arts & Sciences
",BS,BLK,F,BIOS,,,BIOLOGICAL SCIENCES,4
2017,"Arts & Sciences
",BS,HISP,F,BIOS,,,BIOLOGICAL SCIENCES,6
2017,"Arts & Sciences
",BS,HISP,M,BIOS,,,BIOLOGICAL SCIENCES,4
2017,"Arts & Sciences
",BS,NRA,F,BIOS,,,BIOLOGICAL SCIENCES,4
2017,"Arts & Sciences
",BS,NRA,M,BIOS,,,BIOLOGICAL SCIENCES,2
2017,"Arts & Sciences
",BS,2+,F,BIOS,,,BIOLOGICAL SCIENCES,1
2017,"Arts & Sciences
",BS,2+,M,BIOS,,,BIOLOGICAL SCIENCES,1
2017,"Arts & Sciences
",BS,UNK,F,BIOS,,,BIOLOGICAL SCIENCES,1
2017,"Arts & Sciences
",BS,WH,F,BIOS,,,BIOLOGICAL SCIENCES,47
2017,"Arts & Sciences
",BS,WH,M,BIOS,,,BIOLOGICAL SCIENCES,35
2017,"Arts & Sciences
",BS,NRA,F,BIOS,ABIOC,,BIOLOGICAL SCIENCES,1
2017,"Arts & Sciences
",BS,WH,M,BIOS,ABIOC,,BIOLOGICAL SCIENCES,2
2017,"Arts & Sciences
",BS,WH,M,BIOS,AECON,,BIOLOGICAL SCIENCES,1
2017,"Arts & Sciences
",BS,WH,F,BIOS,PSYC,,BIOLOGICAL SCIENCES,3
2017,"Arts & Sciences
",BS,HISP,F,BIOS,SPAN,,BIOLOGICAL SCIENCES,1
2017,"Arts & Sciences
",BS,WH,F,BIOS,SPAN,,BIOLOGICAL SCIENCES,2
2017,"Arts & Sciences
",BA,ASI,F,CHEM,,,CHEMISTRY,3
2017,"Arts & Sciences
",BA,NRA,F,CHEM,,,CHEMISTRY,2
2017,"Arts & Sciences
",BS,2+,F,CHEM,,,CHEMISTRY,1
2017,"Arts & Sciences
",BA,2+,M,CHEM,,,CHEMISTRY,1
2017,"Arts & Sciences
",BA,WH,F,CHEM,,,CHEMISTRY,3
2017,"Arts & Sciences
",BS,WH,M,CHEM,ABIOC,,CHEMISTRY,1
2017,"Arts & Sciences
",BS,WH,M,CHEM,AECON,,CHEMISTRY,1
2017,"Arts & Sciences
",BS,WH,M,CHEM,MBIO,,CHEMISTRY,1
2017,"Arts & Sciences
",BA,WH,F,CHEM,PSYC,,CHEMISTRY,1
2017,"Arts & Sciences
",BA,WH,M,CLNG,,,CLASSICAL LANGUAGES,1
2017,"Arts & Sciences
",BA,WH,F,CLRS,,,CLASSICS AND RELIGIOUS STUDIES,2
2017,"Arts & Sciences
",BA,WH,M,CLRS,,,CLASSICS AND RELIGIOUS STUDIES,3
2017,"Arts & Sciences
",BA,NRA,M,CLRS,ANTH,,CLASSICS AND RELIGIOUS STUDIES,1
2017,"Arts & Sciences
",BA,UNK,M,CLRS,CLNG,,CLASSICS AND RELIGIOUS STUDIES,1
